region,name,type,buyer,open_date,close_date,status,link
Federal,Department of National Defence - 2022 Air Transportation Source Lists,Invitation to Qualify,,"Sep 21, 2023","Feb 18, 2025","OPEN, AWARDED",https://theijf.org/procurement/dnd_dspcos_7_-_2022-002
Federal,Department of National Defence - 2022 Freight Forwarding Transportation Source Lists,Invitation to Qualify,National Defence,"Nov 6, 2024","Feb 18, 2025","OPEN, AWARDED",https://theijf.org/procurement/dnd_dspcos_7_-_2022-001
Federal,E60HL-230051-H RFSO Marine Fuel NMSO 2023-2025,Request for Standing Offer,Public Services and Procurement Canada,"Oct 31, 2024","Nov 26, 2024","OPEN, AWARDED",https://theijf.org/procurement/ws3915620080
Federal,W6898-250722 - Crane and Hoist Install and Maintenance - New Brunswick and Prince Edward Island,Request for Proposal,National Defence,"Oct 15, 2024","Nov 12, 2024","OPEN, AWARDED",https://theijf.org/procurement/ws4817101747
Federal,E60HN-16ELEC for Electrical and Electronic products,Request for Proposal,,"Oct 22, 2024","Nov 5, 2024","CLOSED, AWARDED",https://theijf.org/procurement/w847l-250166
Federal,Family Liaison Services,Advance Contract Award Notice,Correctional Service of Canada,"Oct 21, 2024","Nov 5, 2024","CLOSED, AWARDED",https://theijf.org/procurement/21250-25-4857170
Federal,EP922-241272 - Generator Feasibility Study - Iqaluit NU,Request for Proposal,Public Services and Procurement Canada,"Feb 2, 2024","Jun 17, 2024","CLOSED, AWARDED",https://theijf.org/procurement/ws4387495440
Federal,RFSO - Re-tender - Environmental Data Acquisition Systems (Dataloggers) – Level 3,Request for Standing Offer,Department of the Environment,"Nov 1, 2024","Dec 4, 2024","OPEN, AWARDED",https://theijf.org/procurement/ws3910774798
Federal,Lift & Shift IT Equipment from PDP 3 to EDCG,Request for Proposal,Shared Services Canada,"Oct 22, 2024","Nov 4, 2024","OPEN, AWARDED",https://theijf.org/procurement/bpm022364_27982
Federal,Support Device Assembly,Request for Proposal,National Defence,"Sep 11, 2024","Oct 30, 2024","CLOSED, AWARDED",https://theijf.org/procurement/w8482-252764_a
