region,name,type,buyer,open_date,close_date,status,link
Federal,Request for Information (RFI) Leveraging new Information Technologies to better  understand Official Language Minority Communities’ labour markets at Employment and Social Development Canada (ESDC),Request for Information,Employment and Social Development Canada,"Oct 23, 2024","Nov 6, 2024",CLOSED,https://theijf.org/procurement/100027143
Federal,"Centralised Printing Services (CPS) – Printing Services for File Folders, Applications, Info sheets, labels and Kits",Request for Proposal,Employment and Social Development Canada,"Oct 29, 2024","Nov 13, 2024",OPEN,https://theijf.org/procurement/100027437
Federal,Forensic Audit Services,,Employment and Social Development Canada,"Oct 30, 2024","Nov 14, 2024",OPEN,https://theijf.org/procurement/100027068
Federal,REQUEST FOR INFORMATION (RFI) : WAYFINDER NAVIGATION SYSTEM,Request for Information,Employment and Social Development Canada,"Oct 11, 2024","Oct 28, 2024",CLOSED,https://theijf.org/procurement/100027206
Federal,G9292-244764 Folder-Inserter,Request for Proposal,Employment and Social Development Canada,"Oct 25, 2024","Nov 13, 2024",OPEN,https://theijf.org/procurement/ws4583985275
Federal,G9292-254546 - Vocational Rehabilitation Services,Request for Standing Offer,Employment and Social Development Canada,"Oct 22, 2024","Nov 13, 2024",OPEN,https://theijf.org/procurement/ws4202343365
Federal,ONLINE ARCGIS SOFTWARE TRAINING,Request for Information,Employment and Social Development Canada,"Oct 22, 2024","Nov 5, 2024",OPEN,https://theijf.org/procurement/100024188a
Federal,Virtual delivery of Commercially Available IT Training (CAITTS) sessions to Employment and Social Development Canada (ESDC) employees,Request for Proposal,Employment and Social Development Canada,"Oct 4, 2024","Oct 22, 2024",CLOSED,https://theijf.org/procurement/100025340
Federal,Project Implementation Professional Services – Enforcement and Evidence Management System (EEMS) Project,Request for Proposal,Employment and Social Development Canada,"Oct 21, 2024","Nov 12, 2024",OPEN,https://theijf.org/procurement/100027131
Federal,DO NOT USE,Request for Proposal,Employment and Social Development Canada,"Oct 21, 2024","Oct 21, 2024","CLOSED, AWARDED",https://theijf.org/procurement/ws4714045444
Federal,Licenses and Maintenance for Time Travel Testing Software,Advance Contract Award Notice,Employment and Social Development Canada,"Oct 2, 2024","Oct 17, 2024",CLOSED,https://theijf.org/procurement/100027046
Federal,Data Feeds of Canadian Online Job Postings for Policy Research Analysis and Geomatics (PRAG) at Employment and Social Development Canada (ESDC),Request for Proposal,Employment and Social Development Canada,"Oct 15, 2024","Nov 12, 2024",OPEN,https://theijf.org/procurement/100026434
