region,name,type,buyer,open_date,close_date,status,link
Federal,Elevator Modernization Project,,Fisheries and Oceans Canada,"Feb 15, 2021","Mar 9, 2021","CLOSED, AWARDED",https://theijf.org/procurement/f5211-200726
Federal,Salmon Patrol Services – Haida Gwaii,,Fisheries and Oceans Canada,"Jan 19, 2021","Mar 9, 2021","CLOSED, AWARDED",https://theijf.org/procurement/f5211-210014
Federal,Salmon Patrol Services – Central Coast,,Fisheries and Oceans Canada,"Jan 19, 2021","Mar 9, 2021","CLOSED, AWARDED",https://theijf.org/procurement/f5211-210015
Federal,Canadian Coast Guard Asset Management System-Maximo,,Fisheries and Oceans Canada,"Feb 22, 2021","Mar 8, 2021",CLOSED,https://theijf.org/procurement/fp802-200324
Federal,CCGS Cape Roger and CCGS Cygnus VLE DRY-DOCKING,,Fisheries and Oceans Canada,"Dec 7, 2020","Mar 5, 2021","CLOSED, AWARDED",https://theijf.org/procurement/f7049-200079_a
Federal,Marine Tissue Samples Analysis,Advance Contract Award Notice,Fisheries and Oceans Canada,"Feb 17, 2021","Mar 4, 2021","CLOSED, AWARDED",https://theijf.org/procurement/f2402-200173_a
Federal,Canal Marine & Industrial Inc,Advance Contract Award Notice,Fisheries and Oceans Canada,"Feb 17, 2021","Mar 4, 2021","CLOSED, AWARDED",https://theijf.org/procurement/f7049-200086_a
Federal,"Project Management Services, Analysis and Design Services and Programming Services",,Fisheries and Oceans Canada,"Feb 11, 2021","Mar 4, 2021",CLOSED,https://theijf.org/procurement/f5211-210009
Federal,Crane Rental,,Fisheries and Oceans Canada,"Feb 16, 2021","Mar 4, 2021","CLOSED, AWARDED",https://theijf.org/procurement/f6854-200007_a
Federal,Flow Cytometer,,Fisheries and Oceans Canada,"Feb 1, 2021","Mar 3, 2021","CLOSED, AWARDED",https://theijf.org/procurement/fp197-200098_a
Federal,Draft First Nations Community Based Fishery Fisheries Monitoring and Reporting Framework,Advance Contract Award Notice,Fisheries and Oceans Canada,"Feb 16, 2021","Mar 3, 2021",CLOSED,https://theijf.org/procurement/fp802-200232
Federal,Hazardous Waste Containers and Disposal,,Fisheries and Oceans Canada,"Feb 2, 2021","Mar 3, 2021",CLOSED,https://theijf.org/procurement/f5211-200663
Federal,Marine Mammal Tags,,Fisheries and Oceans Canada,"Feb 22, 2021","Mar 2, 2021","CLOSED, AWARDED",https://theijf.org/procurement/f2402-200131_c
Federal,Removal and disposal of a fishing vessel in Hurkett Cove Ontario,,Fisheries and Oceans Canada,"Feb 17, 2021","Mar 2, 2021",CLOSED,https://theijf.org/procurement/fp802-200222a
Federal,Technical Advisory Services to Support Compliance with Environmental Regulations and Policies,,Fisheries and Oceans Canada,"Jan 14, 2021","Mar 2, 2021",CLOSED,https://theijf.org/procurement/f5211-200264
Federal,LAUNDRY AND DRY CLEANING SERVICES,,Fisheries and Oceans Canada,"Feb 17, 2021","Mar 1, 2021","CLOSED, AWARDED",https://theijf.org/procurement/fp802-200173_a
Federal,Archibus IT Professional Services,,Fisheries and Oceans Canada,"Feb 15, 2021","Mar 1, 2021","CLOSED, AWARDED",https://theijf.org/procurement/f5211-200605
Federal,Phytoplankton Assessment of the Laurentian Great Lakes,Advance Contract Award Notice,Fisheries and Oceans Canada,"Feb 12, 2021","Mar 1, 2021","CLOSED, AWARDED",https://theijf.org/procurement/f5211-200495
Federal,CCGS Laurier - Drydocking & Refit,,Fisheries and Oceans Canada,"Feb 8, 2021","Feb 26, 2021","CLOSED, AWARDED",https://theijf.org/procurement/f1782-20c243_a
Federal,EREP:Portable Oil Recovery Vacuum System - 250 cfm,,Fisheries and Oceans Canada,"Jan 26, 2021","Feb 26, 2021",CLOSED,https://theijf.org/procurement/f7047-200019_a
Federal,EREP:Portable Oil Recovery Vacuum System - 1000-3000 cfm,,Fisheries and Oceans Canada,"Jan 26, 2021","Feb 26, 2021",CLOSED,https://theijf.org/procurement/f7047-200141_a
Federal,Batteries for Marine Aids to Navigation (12V and 2V),,Fisheries and Oceans Canada,"Feb 4, 2021","Feb 24, 2021",CLOSED,https://theijf.org/procurement/f7047-190123_a
Federal,Feasibility of estimating Chilko River Sockeye Smolt abundance using upward facing SONAR,Advance Contract Award Notice,Fisheries and Oceans Canada,"Feb 8, 2021","Feb 23, 2021","CLOSED, AWARDED",https://theijf.org/procurement/f1045-200182_a
Federal,Civil / Marine Engineering Services,,Fisheries and Oceans Canada,"Jan 8, 2021","Feb 23, 2021","CLOSED, AWARDED",https://theijf.org/procurement/f5211-200524
Federal,"Fishing Vessel, Captain, and Crew for Annual Inshore Scallop Assessment Survey: Scallop Production Areas 1, 3, 4, 5, and 6.",,Fisheries and Oceans Canada,"Jan 13, 2021","Feb 23, 2021",CLOSED,https://theijf.org/procurement/f5211-210012
Federal,Cancelled-F1802-200081/A,,Fisheries and Oceans Canada,"Jan 21, 2021","Feb 16, 2021",CANCELLED,https://theijf.org/procurement/f1802-200081_a
Federal,Aeromarine SRT MRTS-7M,,Fisheries and Oceans Canada,"Jan 11, 2021","Feb 19, 2021",CLOSED,https://theijf.org/procurement/f7048-200109_a
Federal,Microwave Real Time spectrum analyzer,,Fisheries and Oceans Canada,"Feb 4, 2021","Feb 19, 2021",CLOSED,https://theijf.org/procurement/fp802-200284
Federal,Handheld Spectrum Analyzer - Signal Hawk SH-60S-AOA,,Fisheries and Oceans Canada,"Feb 4, 2021","Feb 19, 2021","CLOSED, AWARDED",https://theijf.org/procurement/fp802-200285
Federal,Cancelled-F2402-200131/A,,Fisheries and Oceans Canada,"Nov 18, 2020","Dec 3, 2020",CANCELLED,https://theijf.org/procurement/f2402-200131_a
Federal,Cancelled-F2402-200131/B,,Fisheries and Oceans Canada,"Dec 18, 2020","Jan 5, 2021",CANCELLED,https://theijf.org/procurement/f2402-200131_b
Federal,Senior Marine Engineer Support Services,,Fisheries and Oceans Canada,"Jan 11, 2021","Feb 18, 2021",CLOSED,https://theijf.org/procurement/fp802-200010_a
Federal,ProDSS Handheld with GPS System and accessories,,Fisheries and Oceans Canada,"Jan 8, 2021","Feb 17, 2021",CLOSED,https://theijf.org/procurement/f5211-200497
Federal,Echo Sounder,,Fisheries and Oceans Canada,"Feb 1, 2021","Feb 17, 2021","CLOSED, AWARDED",https://theijf.org/procurement/f4751-200016_b
Federal,Rangefinder Binocular,,Fisheries and Oceans Canada,"Jan 26, 2021","Feb 16, 2021","CLOSED, AWARDED",https://theijf.org/procurement/f5290-210046_a
Federal,Canadian Coast Guard - Buoy Cast Iron Counterweights,,Fisheries and Oceans Canada,"Jan 29, 2021","Feb 16, 2021","CLOSED, AWARDED",https://theijf.org/procurement/f6839-204019_a
Federal,Cable and Antenna Analyzer and Spectrum Analyzer,,Fisheries and Oceans Canada,"Jan 29, 2021","Feb 15, 2021",CLOSED,https://theijf.org/procurement/fp802-200287
Federal,Reverse Osmosis Units,,Fisheries and Oceans Canada,"Jan 28, 2021","Feb 12, 2021","CLOSED, AWARDED",https://theijf.org/procurement/f7044-200169_b
Federal,OPP/VOC - Small Vessel Disposal,,Fisheries and Oceans Canada,"Jan 27, 2021","Feb 12, 2021","CLOSED, AWARDED",https://theijf.org/procurement/fw034-200003_a
Federal,Develop new statistical methods for using the groundfish data from the International Pacific Halibut Commission longline survey in British Columbia,Advance Contract Award Notice,Fisheries and Oceans Canada,"Jan 29, 2021","Feb 12, 2021",CLOSED,https://theijf.org/procurement/f5211-200652
Federal,Scope Meter Oscilloscope,,Fisheries and Oceans Canada,"Jan 27, 2021","Feb 11, 2021",CLOSED,https://theijf.org/procurement/fp802-200286
Federal,Communications System Analyzer,,Fisheries and Oceans Canada,"Jan 27, 2021","Feb 11, 2021",CLOSED,https://theijf.org/procurement/fp802-200280
Federal,"Design and produce an automated integrated infrared, visual, and RADAR whale and ship detection system",,Fisheries and Oceans Canada,"Jan 28, 2021","Feb 11, 2021",CLOSED,https://theijf.org/procurement/f5211-200583
Federal,Autonomous Acoustic Recording Devices,,Fisheries and Oceans Canada,"Jan 28, 2021","Feb 11, 2021",CLOSED,https://theijf.org/procurement/f5211-200634
