region,name,type,buyer,open_date,close_date,status,link
Federal,Food Shipping Containers,,National Defence,"Dec 5, 2019","Jan 15, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w0125-20wr30_a
Federal,Rooftop Snow Removal CFB North Bay,,National Defence,"Dec 5, 2019","Jan 15, 2020",CLOSED,https://theijf.org/procurement/w6890-200029_a
Federal,Skyhawks Parachute Talon Parts,,National Defence,"Dec 16, 2019","Jan 15, 2020",CLOSED,https://theijf.org/procurement/w2037-200017_a
Federal,Boat Rental-Ex Southern Comfort2020,,National Defence,"Dec 12, 2019","Jan 15, 2020",CLOSED,https://theijf.org/procurement/w0125-20wr29_a
Federal,Dual Output Pulse Generator,,National Defence,"Dec 17, 2019","Jan 15, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w7714-207158_b
Federal,experienced role players and instructors,,National Defence,"Dec 6, 2019","Jan 15, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w3048-20kh16_a
Federal,Sprung Shelter,,National Defence,"Dec 4, 2019","Jan 15, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w355b-200272_a
Federal,Digital Night Vision Goggles Test Kit,,National Defence,"Dec 6, 2019","Jan 15, 2020",CLOSED,https://theijf.org/procurement/w6399-20-la22_a
Federal,Multiple Victoria Class Spares,,National Defence,"Nov 27, 2019","Jan 15, 2020",CLOSED,https://theijf.org/procurement/w8482-194788_a
Federal,Various Electrical Hardware and Supplies,,National Defence,"Dec 19, 2019","Jan 15, 2020",CLOSED,https://theijf.org/procurement/w3028-20tm08
Federal,Cancelled-W0103-208674/B,,National Defence,"Dec 5, 2019","Jan 14, 2020",CANCELLED,https://theijf.org/procurement/w0103-208674_b
Federal,"All-Terrain Vehicle, amphibious, 8-wheeled, with trailer",,National Defence,"Dec 2, 2019","Jan 14, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w8476-206214_b
Federal,RISO Grounds Maintenance-Gagetown,,National Defence,"Dec 4, 2019","Jan 14, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w6898-200470_a
Federal,Aviation Replacement Parts for the CC138 Twin Otter and the CC115 Buffalo,,National Defence,"Dec 18, 2019","Jan 14, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w8485-205930_a
Federal,Catering services,,National Defence,"Dec 24, 2019","Jan 13, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w3666-19h009_b
Federal,Software License,,National Defence,"Nov 25, 2019","Jan 13, 2020",CLOSED,https://theijf.org/procurement/w7702-206215_a
Federal,Housing for blackbody calibration targets,,National Defence,"Dec 10, 2019","Jan 13, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w7701-207212_a
Federal,Service Body Caps,,National Defence,"Dec 3, 2019","Jan 13, 2020",CLOSED,https://theijf.org/procurement/w3536-200002_a
Federal,Explosives-Narcotics Detector,,National Defence,"Dec 2, 2019","Jan 13, 2020",CLOSED,https://theijf.org/procurement/w0135-192951_b
Federal,Misc. Groceries - Trenton,,National Defence,"Nov 28, 2019","Jan 13, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w0125-20wr09_a
Federal,Disposal of raw or partially treated wastewater and grease interceptors,,National Defence,"Nov 28, 2019","Jan 13, 2020",CLOSED,https://theijf.org/procurement/w6888-201802_a
Federal,Aviation Replacement Parts for the CC138 Twin Otter and the CC115 Buffalo,,National Defence,"Dec 18, 2019","Jan 13, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w8485-205929_a
Federal,Space System Engineering and Cost Analysis for the Department of National Defence,,National Defence,"Dec 2, 2019","Jan 13, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w6369-200196_a
Federal,Aviation Replacement Parts for the CC138 Twin Otter and the CC115 Buffalo,,National Defence,"Dec 18, 2019","Jan 13, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w8485-205928_a
Federal,Space Heater Arctic,,National Defence,"Dec 4, 2019","Jan 13, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w8486-206915_a
Federal,Startup and Preventative Maintenance of Sciex 3200 QTrap System,,National Defence,"Nov 29, 2019","Jan 10, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w7702-206195_a
Federal,Cancelled-W8482-207424 /A,,National Defence,"Dec 17, 2019","Jan 10, 2020",CANCELLED,https://theijf.org/procurement/w8482-207424_a
Federal,"Tractor, Wheeled Agricultural",,National Defence,"Dec 17, 2019","Jan 10, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w8476-206238_b
Federal,Trimble Scanning Total Station,Advance Contract Award Notice,National Defence,"Dec 19, 2019","Jan 10, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w7701-197108_a
Federal,Catering Services,,National Defence,"Dec 19, 2019","Jan 10, 2020",CLOSED,https://theijf.org/procurement/w3659-190004_a
Federal,"Accommodation, Rations & Facilities",,National Defence,"Dec 12, 2019","Jan 10, 2020",CLOSED,https://theijf.org/procurement/w0113-19cs22_a
Federal,Boxed Lunches,,National Defence,"Dec 20, 2019","Jan 10, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w0114-20bf82_a
Federal,Rotary Office Chairs,,National Defence,"Dec 20, 2019","Jan 10, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w8482-207479_dmarp7
Federal,"CONNECTOR, PLUG, ELECTRICAL - W8485-205607/B",,National Defence,"Dec 23, 2019","Jan 10, 2020",CLOSED,https://theijf.org/procurement/w8485-205607_b
Federal,"CYLINDER, LANDING - W8485-205612/B",,National Defence,"Dec 4, 2019","Jan 10, 2020",CLOSED,https://theijf.org/procurement/w8485-205612_b
Federal,"Diagnostic, Reconditioning, Repair of Vehicle Engines (Internal and External Components)",,National Defence,"Dec 13, 2019","Jan 10, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w0138-19a107_a
Federal,Various Electrical Hardware and Supplies,,National Defence,"Dec 11, 2019","Jan 10, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w3028-20tm06
Federal,Arena Maintenance Standing Offer,,National Defence,"Dec 16, 2019","Jan 9, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w6897-200006_c
Federal,Wireless Mobile Tower Lift System,,National Defence,"Nov 22, 2019","Jan 9, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w0106-19c013_a
Federal,"Maintenance and Repair of Fuel Dispensing, NB & PEI",,National Defence,"Nov 29, 2019","Jan 9, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w6898-200469_a
Federal,Cancelled-W0103-208703/A,,National Defence,"Nov 29, 2019","Jan 8, 2020",CANCELLED,https://theijf.org/procurement/w0103-208703_a
Federal,"Medical Advisor, DRDC Suffield, AB",,National Defence,"Dec 17, 2019","Jan 8, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w7702-206221_a
Federal,COMPUTATIONAL CHEMISTRY SIMULATIONS OF PHARMACEUTICAL BASED AGENTS,,National Defence,"Dec 12, 2019","Jan 8, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w7702-206207_a
Federal,Fire Extinguisher Training System,,National Defence,"Nov 29, 2019","Jan 8, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w0117-197459_a
Federal,WEAPON RACKS,,National Defence,"Nov 26, 2019","Jan 8, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w0106-19c007_a
Federal,"Cylinder Assembly,Actuating,Linear",,National Defence,"Nov 29, 2019","Jan 8, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w8482-207272_a
Federal,EXPANSION JOINT PIPE,,National Defence,"Nov 26, 2019","Jan 8, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w8482-206462_a
Federal,Wearable Blast Pressure Sensors,Advance Contract Award Notice,National Defence,"Dec 20, 2019","Jan 8, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w3048-20kh35_a
Federal,Aviation Fuel & Ground Handling,,National Defence,"Nov 29, 2019","Jan 8, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w3999-2005rb_a
Federal,VALVE KIT & STRAINERS,,National Defence,"Dec 3, 2019","Jan 8, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w8482-207358_a
Federal,Light Truck Plow and Spreader,,National Defence,"Nov 28, 2019","Jan 8, 2020",CLOSED,https://theijf.org/procurement/w0113-19cs27_a
Federal,Constant Temperature Anemometer Sys,,National Defence,"Nov 29, 2019","Jan 8, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w0114-190011_a
Federal,VISSC II - Re-Issued ITQ,,National Defence,"Dec 24, 2019","Jan 8, 2020",CLOSED,https://theijf.org/procurement/w8483-197521_c
Federal,Accommodations & Rations for Cadets,,National Defence,"Dec 12, 2019","Jan 8, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w0100-20s023_a
Federal,Fluke Test Leads,,National Defence,"Dec 19, 2019","Jan 8, 2020",CLOSED,https://theijf.org/procurement/w8486-207056
Federal,"RISO Plant Control & Monitoring Systems, CFB Gagetown",,National Defence,"Nov 27, 2019","Jan 8, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w6898-200466_a
Federal,3D Printer,,National Defence,"Nov 22, 2019","Jan 8, 2020",CLOSED,https://theijf.org/procurement/w8486-206465_a
Federal,Arctic Pollution Booms,,National Defence,"Nov 29, 2019","Jan 8, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w0100-200113_a
Federal,"Flooring Services, Department of National Defence, Cold Lake, Alberta",,National Defence,"Dec 4, 2019","Jan 7, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w6895-190037_a
Federal,Water Treatment Chemicals,,National Defence,"Nov 26, 2019","Jan 7, 2020",CLOSED,https://theijf.org/procurement/w6895-200044_a
Federal,Cancelled-W0138-19A108/A,,National Defence,"Nov 28, 2019","Jan 7, 2020",CANCELLED,https://theijf.org/procurement/w0138-19a108_a
Federal,Cancelled-W8485-205801/A,,National Defence,"Dec 20, 2019","Jan 7, 2020",CANCELLED,https://theijf.org/procurement/w8485-205801_a
Federal,Multi Wire Processing System,Advance Contract Award Notice,National Defence,"Dec 23, 2019","Jan 7, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w3474-203111_a
Federal,Command & Control IM/IT Projects,,National Defence,"Dec 6, 2019","Jan 7, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w6369-190169_b
Federal,Inspection and maintenance of digital control systems,,National Defence,"Dec 6, 2019","Jan 7, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w6898-200462_a
Federal,Waste Removal Services,,National Defence,"Nov 28, 2019","Jan 7, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w0501-20w005_a
Federal,Power Supplies and Signal Analyzer,,National Defence,"Dec 18, 2019","Jan 7, 2020",CLOSED,https://theijf.org/procurement/2020-01982
Federal,Real time spectrum analyzer,,National Defence,"Nov 25, 2019","Jan 6, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w2671-19vb06_a
Federal,Accommodations & onsite meals - Alberta,,National Defence,"Dec 19, 2019","Jan 6, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w2037-200090_a
Federal,Lab Equipment,,National Defence,"Nov 25, 2019","Jan 6, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w0114-180009_a
Federal,Dodge & Chrysler Vehicle Repair,,National Defence,"Dec 10, 2019","Jan 6, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w0125-20wr17_a
Federal,Erosion Function Apparatus,,National Defence,"Nov 26, 2019","Jan 6, 2020",CLOSED,https://theijf.org/procurement/w0114-190008_a
Federal,Tree Trimming and Disposal,,National Defence,"Nov 27, 2019","Jan 6, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w6888-201993_b
Federal,"Integrated Logistics Support (ILS) Specialist, Intermediate",,National Defence,"Dec 11, 2019","Jan 6, 2020",CLOSED,https://theijf.org/procurement/w8485-tsps2020-09
Federal,Antenna Requirement,,National Defence,"Nov 25, 2019","Jan 6, 2020",CLOSED,https://theijf.org/procurement/w6369-200186_b
Federal,Zero Turn Mowers,,National Defence,"Nov 27, 2019","Jan 6, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w0113-19cs26_a
Federal,Snowmobiles,,National Defence,"Dec 11, 2019","Jan 6, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w3048-20kh14_c
Federal,Microwave Analyzer,,National Defence,"Dec 20, 2019","Jan 6, 2020",CLOSED,https://theijf.org/procurement/w8485-207025_a
Federal,"Vehicle Rental Services-Miramar, CA, USA",,National Defence,"Dec 12, 2019","Jan 3, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w0134-20r017_a
Federal,"EXPANSION JOINT, PIPE",,National Defence,"Nov 22, 2019","Jan 3, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w8482-206521_a
Federal,Lathe Parts and Installation,Advance Contract Award Notice,National Defence,"Dec 18, 2019","Jan 2, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w3555-209752_a
Federal,"Cartridge, Dehydrator NSN: 4440-01-536-5584",,National Defence,"Nov 29, 2019","Jan 2, 2020","CLOSED, AWARDED",https://theijf.org/procurement/w8482-195787_a
Federal,Cancelled-W8485-205935/A,Advance Contract Award Notice,National Defence,"Dec 13, 2019","Dec 31, 2019",CANCELLED,https://theijf.org/procurement/w8485-205935_a
Federal,Communication Promotional Material,,National Defence,"Dec 12, 2019","Dec 30, 2019","CLOSED, AWARDED",https://theijf.org/procurement/w3827-20ma01_b
Federal,Cancelled-W8485-205617/A,,National Defence,"Dec 10, 2019","Dec 27, 2019",CANCELLED,https://theijf.org/procurement/w8485-205617_a
Federal,Power Supplies and Load,,National Defence,"Dec 6, 2019","Dec 23, 2019","CLOSED, AWARDED",https://theijf.org/procurement/dnd9339jl01
Federal,Drive-On-Dock,,National Defence,"Nov 27, 2019","Dec 20, 2019",CLOSED,https://theijf.org/procurement/w0103-208699_a
Federal,Smallpox Therapeutic Drug (TPOXX),Advance Contract Award Notice,National Defence,"Dec 5, 2019","Dec 20, 2019","CLOSED, AWARDED",https://theijf.org/procurement/w6369-20a045_a
Federal,AIR BRAKE BOARDS,,National Defence,"Dec 5, 2019","Dec 20, 2019","CLOSED, AWARDED",https://theijf.org/procurement/w6369-17x037_d
Federal,Various Distress Beacons,,National Defence,"Nov 29, 2019","Dec 20, 2019","CLOSED, AWARDED",https://theijf.org/procurement/w8482-206546_a
Federal,Accommodation and Food Support Serv,Advance Contract Award Notice,National Defence,"Dec 4, 2019","Dec 19, 2019","CLOSED, AWARDED",https://theijf.org/procurement/w6570-20cb01_a
Federal,Hematology Analyzer,Advance Contract Award Notice,National Defence,"Dec 4, 2019","Dec 19, 2019","CLOSED, AWARDED",https://theijf.org/procurement/w7719-205494_a
Federal,TRANSDUCER ASSEMBLY - W8485-205610/B,,National Defence,"Dec 4, 2019","Dec 19, 2019",CLOSED,https://theijf.org/procurement/w8485-205610_b
Federal,High Voltage Pulse Generator,Advance Contract Award Notice,National Defence,"Dec 4, 2019","Dec 19, 2019",CLOSED,https://theijf.org/procurement/w0114-190010_a
Federal,"COOLER,FLUID,INDUSTRIAL",,National Defence,"Nov 28, 2019","Dec 18, 2019","CLOSED, AWARDED",https://theijf.org/procurement/w8482-195799_b
Federal,"Milk, Cheese and Dairy Products",,National Defence,"Nov 22, 2019","Dec 18, 2019","CLOSED, AWARDED",https://theijf.org/procurement/w0113-20d005_a
Federal,Aircraft Arrestor System Parts,Advance Contract Award Notice,National Defence,"Nov 27, 2019","Dec 17, 2019","CLOSED, AWARDED",https://theijf.org/procurement/w0125-19aas2_a
Federal,Steam Coil Replacement,,National Defence,"Nov 29, 2019","Dec 17, 2019","CLOSED, AWARDED",https://theijf.org/procurement/w355b-200726_a
Federal,"Accommodations in Sigonella, Italy",,National Defence,"Nov 29, 2019","Dec 16, 2019","CLOSED, AWARDED",https://theijf.org/procurement/w0102-20025d_a
Federal,High Resolution Extended Short Wave Infrared Imager,Advance Contract Award Notice,National Defence,"Nov 28, 2019","Dec 13, 2019","CLOSED, AWARDED",https://theijf.org/procurement/w7701-207206_a
Federal,Aviation Replacement Parts for the CC115 Buffalo,,National Defence,"Dec 3, 2019","Dec 13, 2019","CLOSED, AWARDED",https://theijf.org/procurement/w8485-205844_a
Federal,Pallet Strapping Machine,Advance Contract Award Notice,National Defence,"Nov 28, 2019","Dec 13, 2019","CLOSED, AWARDED",https://theijf.org/procurement/w010s-20e062_a
Federal,Vessel Charter - Array Deployment,,National Defence,"Nov 28, 2019","Dec 13, 2019",CLOSED,https://theijf.org/procurement/w7707-206595_c
Federal,Système haute vitesse de modulateur spacial,Advance Contract Award Notice,National Defence,"Nov 27, 2019","Dec 12, 2019","CLOSED, AWARDED",https://theijf.org/procurement/w7701-207197_a
Federal,CFB Comox Voodoo Restoration,,National Defence,"Nov 22, 2019","Dec 11, 2019","CLOSED, AWARDED",https://theijf.org/procurement/w0133-20t009_a
Federal,"Accommodations in Anchorage, Alaska",,National Defence,"Nov 25, 2019","Dec 10, 2019","CLOSED, AWARDED",https://theijf.org/procurement/w8484-20-9647
Federal,"GROUNDING KIT, PROPELLER SHAFT",,National Defence,"Nov 25, 2019","Dec 10, 2019",CLOSED,https://theijf.org/procurement/w8482-206559a
Federal,Arena Maintenance Standing Offer,,National Defence,"Nov 26, 2019","Dec 9, 2019",CLOSED,https://theijf.org/procurement/w6897-200006_b
Federal,RFSA Flatbed Trailers,,National Defence,"Apr 19, 2023","May 26, 2028",OPEN,https://theijf.org/procurement/ws3774799076
Federal,"W6399-23DB10C Explosive Ordinance Disposal, Improvised Explosive Devices, Training Services and Tools",,National Defence,"Jun 19, 2023","Mar 31, 2028",OPEN,https://theijf.org/procurement/ws4059013483
Federal,W6399-22CA50C Miscellaneous Communication Equipment,,National Defence,"Jul 19, 2023","Mar 31, 2027",OPEN,https://theijf.org/procurement/ws4102449949
Federal,"Accommodations - Borrego Springs, California",Request for Proposal,National Defence,"Nov 28, 2022","Mar 31, 2027",OPEN,https://theijf.org/procurement/w6399-22ca45_b
Federal,"Accommodations - Temecula, California",Request for Proposal,National Defence,"Nov 28, 2022","Mar 31, 2027","OPEN, AWARDED",https://theijf.org/procurement/w6399-22ca46_b
Federal,Cancelled-W6399-22CA50/B,Request for Proposal,National Defence,"Oct 25, 2022","Mar 31, 2027",CANCELLED,https://theijf.org/procurement/w6399-22ca50_b
Federal,PSIB W3048-20KF46 Multipurpose Alpine Military Mobility Training Facility,,National Defence,"Jan 10, 2024","Jan 14, 2027",OPEN,https://theijf.org/procurement/ws4387528098
Federal,Defence Intelligence Enterprise Support Services,Request for Proposal,National Defence,"Aug 10, 2022","Mar 31, 2026",OPEN,https://theijf.org/procurement/w6820-21zz02_a
Federal,Collective Military Training role playing and facilities,Request for Proposal,National Defence,"Nov 17, 2022","Mar 31, 2026","OPEN, AWARDED",https://theijf.org/procurement/w6399-21j415_c
