region,contract,buyer,supplier,amount,award_date,start_date,end_date,link
Federal,Other Business services not Elsewhere Specified,National Defence,Shipping Consultants Associated Ltd.,"$199,439","Apr. 7, 2024","Apr. 9, 2024","Apr. 12, 2024",https://theijf.org/procurement/w693125003_dnd
Federal,Rental of motor and other vehicles,National Defence,Enterprise,"$76,435","Apr. 3, 2024","Apr. 3, 2024","Apr. 12, 2024",https://theijf.org/procurement/w0138_24_a011_dnd
Federal,Rental of motor and other vehicles,National Defence,toromont industries,"$15,230","Apr. 1, 2024","Apr. 1, 2024","Apr. 12, 2024",https://theijf.org/procurement/w0138_24_a017_dnd
Federal,"Meat, fish and their preparations",National Defence,GORDON FOOD SERVICE CANADA LTD,"$10,203","Apr. 9, 2024","Apr. 12, 2024","Apr. 12, 2024",https://theijf.org/procurement/aq0113202500045_dnd
Federal,Miscellaneous manufactured articles,Royal Canadian Mounted Police,MARTY'S MOUNTAIN CYCLE,"$13,605","Apr. 12, 2024","Apr. 12, 2024","Apr. 12, 2024",https://theijf.org/procurement/7272855_rcmp
Federal,Special industry machinery,National Defence,Ador Tech Inc,"$30,098","Feb. 12, 2024","Feb. 12, 2024","Apr. 12, 2024",https://theijf.org/procurement/cw2339230_dnd
Federal,Other Utility services,National Defence,R&V YAMAHA,"$31,994","Apr. 12, 2024","Apr. 12, 2024","Apr. 12, 2024",https://theijf.org/procurement/w6894_4502735842_dnd
Federal,"Vegetables and fruits, edible products, fats and preparations",National Defence,SYSCO,"$19,226","Apr. 5, 2024","Apr. 11, 2024","Apr. 11, 2024",https://theijf.org/procurement/sy1677202500014_dnd
Federal,Diesel fuel,National Defence,Suncor Energy Products,"$14,195","Mar. 6, 2024","Mar. 6, 2024","Apr. 11, 2024",https://theijf.org/procurement/w0133_4502721726_dnd
Federal,Diesel fuel,National Defence,Suncor Energy Products,"$14,031","Mar. 13, 2024","Mar. 13, 2024","Apr. 11, 2024",https://theijf.org/procurement/w0133_4502724739_dnd
Federal,"Meat, fish and their preparations",National Defence,Gordon Food Service Canada Ltd. Québec Division,"$11,259","Apr. 10, 2024","Apr. 11, 2024","Apr. 11, 2024",https://theijf.org/procurement/cj0106202500047_dnd
Federal,Pharmaceutical and Other Medicinal Products,Correctional Service of Canada,MCKESSON CANADA CORPORATION,"$16,216","Apr. 4, 2024","Apr. 4, 2024","Apr. 11, 2024",https://theijf.org/procurement/21301_25_4717336_csc
Federal,Management Consulting,Employment and Social Development Canada,MAPLESOFT GROUP,"$27,289","Mar. 13, 2024","Mar. 13, 2024","Apr. 11, 2024",https://theijf.org/procurement/4500013062_esdc
Federal,Repair and maintenance - Ships and boats,Fisheries and Oceans Canada,EQUIPEMENTS SURVIE MARITIME INC,"$18,473","Apr. 9, 2024","Apr. 11, 2024","Apr. 11, 2024",https://theijf.org/procurement/4500065428_dfo
Federal,Other equipment and Parts,National Defence,TRANCE CANADA,"$14,142","Feb. 26, 2024","Feb. 26, 2024","Apr. 11, 2024",https://theijf.org/procurement/4502716522_dnd
Federal,"Meat, fish and their preparations",National Defence,SYSCO VICTORIA BC,"$24,575","Apr. 5, 2024","Apr. 11, 2024","Apr. 11, 2024",https://theijf.org/procurement/sy1242202500007_dnd
Federal,"Other mineral fuels, oils and products",National Defence,MICHAUD PETROLEUM,"$89,298","Apr. 11, 2024","Apr. 11, 2024","Apr. 11, 2024",https://theijf.org/procurement/4502735368_dnd
