region,name,type,buyer,open_date,close_date,status,link
Federal,Pintle Trailer RFSA,,Public Services and Procurement Canada,"Jul 11, 2023","Apr 1, 2024",CLOSED,https://theijf.org/procurement/ws4092238338
Federal,Heavy Trailers RFSA,,Public Services and Procurement Canada,"Jul 11, 2023","Apr 1, 2024",CLOSED,https://theijf.org/procurement/ws4093758544
Federal,National Food and Beverage Procurement Strategy Renewal,Request for Information,Public Services and Procurement Canada,"Nov 3, 2023","Apr 1, 2024",CLOSED,https://theijf.org/procurement/ws4290897476
Federal,Digital Platform Modernization Conflict of Interest and Unfair Advantage – Proactive Disclosure Notice to Industry,Request for Information,"Immigration, Refugees and Citizenship Canada","Oct 25, 2022","Mar 31, 2024","CLOSED, AWARDED",https://theijf.org/procurement/ws3228586309
Federal,Results for the ITQ B9220-220012-A for DPM P3 – Case Management Platform (CMP),Request for Information,"Immigration, Refugees and Citizenship Canada","May 15, 2023","Mar 31, 2024","CLOSED, AWARDED",https://theijf.org/procurement/ws3228586309
Federal,Cancelled - 875 Heron Road Rehabilitation Project,Request for Proposal,Public Services and Procurement Canada,"Feb 15, 2024","Mar 31, 2024",CLOSED,https://theijf.org/procurement/ep095-220899_b
Federal,23240-240624-Automatic Liquid Scintillation Counter,Advance Contract Award Notice,Department of Natural Resources,"Mar 14, 2024","Mar 29, 2024",CLOSED,https://theijf.org/procurement/ws4467740704
Federal,"EW699-241903 Advance Notice to Industry Land Treatment Unit Decommissioning , Remediation Project Cambridge Bay",Request for Proposal,Public Services and Procurement Canada,"Feb 16, 2024","Mar 29, 2024","CLOSED, AWARDED",https://theijf.org/procurement/ws4447206800
Federal,23572-240769 Bulk Carbon Dioxide and Oxygen,Request for Proposal,Department of Natural Resources,"Feb 28, 2024","Mar 29, 2024","CLOSED, AWARDED",https://theijf.org/procurement/ws4324136155
Federal,23240-240144 - Marine Vibrocore Sampling Unit,Request for Proposal,Department of Natural Resources,"Jan 25, 2024","Mar 29, 2024",CLOSED,https://theijf.org/procurement/ws4328196045
Federal,F3065-240003 - CCGS Pierre Radisson - Drydock Spring 2024 - RFP,Request for Proposal,Canadian Coast Guard,"Mar 6, 2024","Mar 28, 2024","CLOSED, AWARDED",https://theijf.org/procurement/ws4430566750
Federal,Request for Information - Greenhouse Gas Offset Credits,Request for Information,Public Services and Procurement Canada,"Jan 4, 2024","Mar 28, 2024",CLOSED,https://theijf.org/procurement/ws4372412563
Federal,W6862-240147 - Asphalt Pavement Repair Standing Offer,Request for Standing Offer,National Defence,"Mar 6, 2024","Mar 28, 2024","CLOSED, AWARDED",https://theijf.org/procurement/ws4434660775
Federal,M5000-241205 Sanitization Cabinets,Request for Proposal,Royal Canadian Mounted Police,"Feb 16, 2024","Mar 28, 2024","CLOSED, AWARDED",https://theijf.org/procurement/ws4423154620
Federal,Information Technology Infrastructure in Support of Command and Control,Request for Proposal,National Defence,"Nov 6, 2023","Mar 28, 2024",CLOSED,https://theijf.org/procurement/w8474-18it01_c
Federal,RFP - Replacement of Sally Port Gates – Atlantic Institution,Request for Proposal,Public Services and Procurement Canada,"Feb 21, 2024","Mar 28, 2024","CLOSED, AWARDED",https://theijf.org/procurement/ws4426298845
Federal,Multiple Victoria Class Submarine Spares,Request for Proposal,National Defence,"Dec 11, 2023","Mar 28, 2024",CLOSED,https://theijf.org/procurement/w8482-241992_a
Federal,K3D33-220878 Compressed Helium and Hydrogen Gas,Request for Proposal,Department of the Environment,"Mar 12, 2024","Mar 28, 2024",CANCELLED,https://theijf.org/procurement/ws3578632592
Federal,W6889-240168 Compressed Air Systems RFSO,Request for Standing Offer,National Defence,"Mar 7, 2024","Mar 28, 2024","CLOSED, AWARDED",https://theijf.org/procurement/ws4477827551
Federal,M2989-242734B - Patrol Vessel (PV) Inkster - Drydocking and Refit,Request for Proposal,Royal Canadian Mounted Police,"Feb 28, 2024","Mar 28, 2024","CLOSED, AWARDED",https://theijf.org/procurement/ws4330346253
Federal,W6896-23SO98 Utilities Maintenance Standing Offer,Request for Standing Offer,National Defence,"Mar 6, 2024","Mar 28, 2024","CANCELLED, AWARDED",https://theijf.org/procurement/ws4467602348
Federal,"EF245-241843 - Purchase of furniture under the SA for categories 1, 2, 5 and 6",Request for Proposal,Public Safety Canada,"Feb 28, 2024","Mar 28, 2024","CLOSED, AWARDED",https://theijf.org/procurement/ws4451675136
